fontFileId	fontFamily	fontPath	leftCharacter	rightCharacter	leftGlyphId	rightGlyphId	leftGlyphName	rightGlyphName	availableKernEm	calculatedKernEm	differenceEm	absDifferenceEm	signChanged
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	-	A	16	36	hyphen	A	0.002000	0.002000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	-	T	16	55	hyphen	T	-0.060000	-0.060000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	-	V	16	57	hyphen	V	-0.047000	-0.023500	0.023500	0.023500	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	-	W	16	58	hyphen	W	-0.030000	-0.030000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	-	Y	16	60	hyphen	Y	-0.056000	-0.056000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	,	18	15	slash	comma	-0.150000	-0.120000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	-	18	16	slash	hyphen	-0.100000	-0.070000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	.	18	17	slash	period	-0.150000	-0.120000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	/	18	18	slash	slash	-0.120000	-0.120000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	A	18	36	slash	A	-0.070000	-0.070000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	J	18	45	slash	J	-0.080000	-0.080000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	T	18	55	slash	T	-0.020000	-0.020000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	a	18	68	slash	a	-0.100000	-0.070000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	c	18	70	slash	c	-0.100000	-0.070000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	d	18	71	slash	d	-0.090000	-0.090000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	e	18	72	slash	e	-0.100000	-0.070000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	/	g	18	74	slash	g	-0.100000	-0.070000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	1	4	20	23	one	four	-0.002000	-0.002000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	2	4	21	23	two	four	-0.005000	-0.005000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	2	7	21	26	two	seven	-0.002000	-0.002000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	7	-	26	16	seven	hyphen	-0.080000	-0.050000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	7	4	26	23	seven	four	-0.080000	-0.050000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	7	6	26	25	seven	six	-0.007000	-0.019000	-0.012000	0.012000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	7	8	26	27	seven	eight	-0.005000	-0.005000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	7	9	26	28	seven	nine	-0.003000	-0.003000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	7	–	26	265	seven	endash	-0.080000	-0.050000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	7	—	26	266	seven	emdash	-0.080000	-0.050000	0.030000	0.030000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	-	36	16	A	hyphen	-0.036000	-0.054000	-0.018000	0.018000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	C	36	38	A	C	-0.003000	-0.003000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	G	36	42	A	G	-0.003000	-0.003000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	O	36	50	A	O	-0.003000	-0.003000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	Q	36	52	A	Q	-0.003000	-0.003000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	T	36	55	A	T	-0.075000	-0.075000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	V	36	57	A	V	-0.043000	-0.055574	-0.012574	0.012574	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	W	36	58	A	W	-0.046000	-0.047074	-0.001074	0.001074	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	Y	36	60	A	Y	-0.060000	-0.047222	0.012778	0.012778	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	–	36	265	A	endash	-0.003000	-0.003000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	A	—	36	266	A	emdash	-0.003000	-0.003000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	C	-	38	16	C	hyphen	-0.004000	-0.004000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	C	–	38	265	C	endash	-0.004000	-0.004000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	C	—	38	266	C	emdash	-0.004000	-0.004000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	D	,	39	15	D	comma	-0.038000	-0.057000	-0.019000	0.019000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	D	.	39	17	D	period	-0.038000	-0.057000	-0.019000	0.019000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	D	;	39	30	D	semicolon	-0.038000	-0.057000	-0.019000	0.019000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	D	A	39	36	D	A	-0.001000	-0.001000	0.000000	0.000000	false
comic-neue	Comic Neue	ofl/comicneue/ComicNeue-Regular.ttf	D	I	39	44	D	I	-0.029000	-0.041574	-0.012574	0.012574	false
